ii LuaJIT-2.1.0beta3_1                     Just-In-Time Compiler for Lua
ii acl-2.3.1_1                             Access Control List filesystem support
ii acpid-2.0.32_1                          The ACPI Daemon (acpid) With Netlink Support
ii adwaita-icon-theme-40.rc_1              Theme consisting of a set of icons for GTK+
ii alsa-lib-1.2.4_2                        Advanced Linux Sound Architecture (ALSA) library
ii alsa-utils-1.2.4_1                      Advanced Linux Sound Architecture (ALSA) utilities
ii appstream-glib-0.7.18_1                 Install and update applications
ii apulse-0.1.13_1                         PulseAudio emulation for ALSA
ii arandr-0.1.10_4                         Graphical frontend for XRandR
ii at-spi2-atk-2.38.0_1                    GTK+ module that bridges ATK to D-Bus at-spi
ii at-spi2-core-2.40.0_1                   Assistive Technology Service Provider Interface
ii atk-2.36.0_1                            Set of interfaces for accessibility
ii atkmm-2.28.1_1                          Set of interfaces for accessibility (C++ bindings)
ii attr-2.5.1_1                            Extended attribute support library for ACL support
ii avahi-libs-0.8_2                        Avahi shared libraries
ii base-files-0.142_11                     Void Linux base system files
ii base-system-0.114_1                     Void Linux base system meta package
ii bash-5.1.004_1                          GNU Bourne Again Shell
ii binutils-2.35.1_4                       GNU binary utilities
ii binutils-doc-2.35.1_4                   GNU binary utilities - info files
ii bluez-5.58_1                            Bluetooth tools and daemons
ii bluez-alsa-3.0.0_2                      Bluetooth Audio ALSA Backend
ii brotli-1.0.9_2                          Generic-purpose lossless compression algorithm
ii btrfs-progs-5.9_1                       Btrfs filesystem utilities
ii bubblewrap-0.4.1_2                      Unprivileged sandboxing tool
ii bzip2-1.0.8_1                           Freely available, patent free, high-quality data compressor
ii bzip2-devel-1.0.8_1                     Freely available, patent free, high-quality data compressor - development files
ii c-ares-1.17.1_1                         C library that performs DNS requests and name resolves asynchronously
ii ca-certificates-20210119_2              Common CA certificates for SSL/TLS
ii cairo-1.16.0_2                          Vector graphics library with cross-device output support
ii cairomm-1.14.2_1                        C++ bindings to Cairo vector graphics library
ii celt-0.11.3_3                           An audio codec for use in low-delay speech and audio communication
ii cmake-3.20.1_1                          Cross-platform, open-source build system
ii confuse-3.3_1                           Small configuration file parser library for C
ii coreutils-8.32_4                        GNU core utilities
ii cpio-2.13_1                             GNU copy-in/out (cpio) with remote magnetic tape (rmt) support
ii cryptsetup-2.3.5_1                      Setup virtual encryption devices under Linux dm-crypt
ii curl-7.76.1_1                           Client that groks URLs
ii dash-0.5.11.3_1                         POSIX-compliant Unix shell, much smaller than GNU bash
ii dbus-1.12.20_1                          Message bus system
ii dbus-glib-0.110_1                       GLib bindings for D-Bus
ii dbus-libs-1.12.20_1                     Message bus system - shared libraries
ii dbus-x11-1.12.20_1                      Message bus system - X11 support
ii dconf-0.40.0_1                          Low-level configuration system
